HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID
HGNC:162	ACTL7B	10880	ENSG00000148156
HGNC:24018	ACTL8	81569	ENSG00000117148
HGNC:28494	ACTL9	284382	ENSG00000181786
HGNC:16127	ACTL10	170487	ENSG00000182584
HGNC:44626	ACTL11P	389120	ENSG00000234667
HGNC:163	ACTN1	87	ENSG00000072110
HGNC:20131	ACTN1-AS1	161159	ENSG00000259062
HGNC:164	ACTN2	88	ENSG00000077522
HGNC:165	ACTN3	89	ENSG00000248746
HGNC:166	ACTN4	81	ENSG00000130402
HGNC:44028	ACTN4P1	344978	ENSG00000213493
HGNC:44032	ACTN4P2	391026	ENSG00000214141
HGNC:51621	ACTP1	106480335	ENSG00000229890
HGNC:167	ACTR1A	10121	ENSG00000138107
HGNC:54703	ACTR1AP1	100287074	ENSG00000233370
HGNC:168	ACTR1B	10120	ENSG00000115073
HGNC:169	ACTR2	10097	ENSG00000138071
HGNC:170	ACTR3	10096	ENSG00000115091
HGNC:53965	ACTR3-AS1	101060091	
HGNC:17256	ACTR3B	57180	ENSG00000133627
HGNC:37724	ACTR3BP1	643050	ENSG00000270242
HGNC:38677	ACTR3BP2	440888	ENSG00000226481
HGNC:38678	ACTR3BP3	647156	ENSG00000260327
HGNC:38681	ACTR3BP4	777774	ENSG00000249283
HGNC:38682	ACTR3BP5	399746	ENSG00000227264
HGNC:38683	ACTR3BP6	644773	ENSG00000280263
HGNC:54971	ACTR3BP7	100289004	ENSG00000226444
HGNC:37282	ACTR3C	653857	ENSG00000106526
HGNC:31820	ACTR3P1	100288580	
HGNC:38676	ACTR3P2	100129013	ENSG00000232267
HGNC:38679	ACTR3P3	100128020	ENSG00000242573
HGNC:14671	ACTR5	79913	ENSG00000101442
HGNC:24025	ACTR6	64431	ENSG00000075089
HGNC:44210	ACTR6P1	100421495	ENSG00000248915
HGNC:14672	ACTR8	93973	ENSG00000113812
HGNC:17372	ACTR10	55860	ENSG00000131966
HGNC:24027	ACTRT1	139741	ENSG00000123165
HGNC:55127	ACTRT1P1	100128268	ENSG00000235239
HGNC:24026	ACTRT2	140625	ENSG00000169717
HGNC:24022	ACTRT3	84517	ENSG00000184378
HGNC:171	ACVR1	90	ENSG00000115170
HGNC:172	ACVR1B	91	ENSG00000135503
HGNC:18123	ACVR1C	130399	ENSG00000123612
HGNC:173	ACVR2A	92	ENSG00000121989
HGNC:174	ACVR2B	93	ENSG00000114739
HGNC:44161	ACVR2B-AS1	100128640	ENSG00000229589
HGNC:175	ACVRL1	94	ENSG00000139567
HGNC:176	ACVRLK2		
HGNC:177	ACY1	95	ENSG00000243989
HGNC:178	ACY1L		
HGNC:24104	ACY3	91703	ENSG00000132744
HGNC:179	ACYP1	97	ENSG00000119640
HGNC:180	ACYP2	98	ENSG00000170634
HGNC:181	AD1		
HGNC:182	AD2		
HGNC:183	AD3		
HGNC:184	AD4		
HGNC:185	AD5		
HGNC:186	ADA	100	ENSG00000196839
HGNC:1839	ADA2	51816	ENSG00000093072
HGNC:30713	ADAD1	132612	ENSG00000164113
HGNC:44550	ADAD1P1	100422386	
HGNC:44552	ADAD1P2	100422407	ENSG00000267511
HGNC:30714	ADAD2	161931	ENSG00000140955
HGNC:31853	ADAL	161823	ENSG00000168803
HGNC:187	ADAM1A	8759	ENSG00000229186
HGNC:44366	ADAM1B	100420505	ENSG00000226469
HGNC:198	ADAM2	2515	ENSG00000104755
HGNC:209	ADAM3A	1587	ENSG00000197475
HGNC:210	ADAM3B	1596	ENSG00000260089
HGNC:212	ADAM5	255926	ENSG00000196115
HGNC:213	ADAM6	8755	ENSG00000271968
HGNC:214	ADAM7	8756	ENSG00000069206
HGNC:215	ADAM8	101	ENSG00000151651
HGNC:216	ADAM9	8754	ENSG00000168615
HGNC:188	ADAM10	102	ENSG00000137845
HGNC:189	ADAM11	4185	ENSG00000073670
HGNC:190	ADAM12	8038	ENSG00000148848
HGNC:43841	ADAM12-OT1		
HGNC:193	ADAM15	8751	ENSG00000143537
HGNC:195	ADAM17	6868	ENSG00000151694
HGNC:196	ADAM18	8749	ENSG00000168619
HGNC:197	ADAM19	8728	ENSG00000135074
HGNC:199	ADAM20	8748	ENSG00000134007
HGNC:20102	ADAM20P1	317760	ENSG00000259158
HGNC:43901	ADAM20P2	100533671	ENSG00000248574
HGNC:43902	ADAM20P3	644325	ENSG00000249162
HGNC:200	ADAM21	8747	ENSG00000139985
HGNC:19822	ADAM21P1	145241	ENSG00000235812
HGNC:201	ADAM22	53616	ENSG00000008277
HGNC:202	ADAM23	8745	ENSG00000114948
HGNC:203	ADAM24P	646479	ENSG00000214607
HGNC:206	ADAM28	10863	ENSG00000042980
HGNC:207	ADAM29	11086	ENSG00000168594
HGNC:208	ADAM30	11085	ENSG00000134249
HGNC:15479	ADAM32	203102	ENSG00000197140
HGNC:15478	ADAM33	80332	ENSG00000149451
HGNC:16299	ADAMDEC1	27299	ENSG00000134028
HGNC:217	ADAMTS1	9510	ENSG00000154734
HGNC:218	ADAMTS2	9509	ENSG00000087116
HGNC:219	ADAMTS3	9508	ENSG00000156140
HGNC:220	ADAMTS4	9507	ENSG00000158859
HGNC:221	ADAMTS5	11096	ENSG00000154736
HGNC:222	ADAMTS6	11174	ENSG00000049192
HGNC:223	ADAMTS7	11173	ENSG00000136378
HGNC:49407	ADAMTS7P1	390660	ENSG00000274376
HGNC:49408	ADAMTS7P2		
HGNC:49409	ADAMTS7P3	400406	ENSG00000261143
HGNC:49410	ADAMTS7P4	642935	ENSG00000218052
HGNC:224	ADAMTS8	11095	ENSG00000134917
HGNC:13202	ADAMTS9	56999	ENSG00000163638
HGNC:40625	ADAMTS9-AS1	101929335	ENSG00000241158
HGNC:42435	ADAMTS9-AS2	100507098	ENSG00000241684
